question,question_cyrl,answers,answers_cyrl,correct_answer,image_url,category,time_limit
Chorrahadan birinchi bo'lib o'tadi:,Чорраҳадан биринчи бўлиб ўтади:,"{""Qizil avtomobil"",""Ko'k avtomobil"",""Sariq avtomobil"",""Yashil avtomobil""}","{""Қизил автомобил"",""Кўк автомобил"",""Сариқ автомобил"",""Яшил автомобил""}",3,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 1,300
Qaysi transport vositasining haydovchisi chorrahadan birinchi bo'lib o'tadi?,Қайси транспорт воситасининг ҳайдовчиси чорраҳадан биринчи бўлиб ўтади?,"{""Avtomobil va avtobus haydovchisi"",""Tramvay haydovchisi""}","{""Автомобил ва автобус ҳайдовчиси"",""Трамвай ҳайдовчиси""}",0,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 1,300
Qaysi holatda egri yo'lda harakatlanayotgan avtomobil turg'unligi taminlangan?,Қайси ҳолатда егри йўлда ҳаракатланаётган автомобил турғунлиги таминланган?,"{""Uzatma ulangan holatda"",""Uzatma ajratilgan holatda"",""Tezlik oshirilganda""}","{""Узатма уланган ҳолатда"",""Узатма ажратилган ҳолатда"",""Тезлик оширилганда""}",0,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 1,300
Qaysi transport vositasi haydovchisi to'g'riga harakatlanish huquqiga ega?,Қайси транспорт воситаси ҳайдовчиси тўғрига ҳаракатланиш ҳуқуқига ега?,"{""Avtobus va motosikl haydovchilari"",""Engil va yuk avtomobillari haydovchilari"",""Engil avtomobil haydovchisi""}","{""Автобус ва мотосикл ҳайдовчилари"",""Енгил ва юк автомобиллари ҳайдовчилари"",""Енгил автомобил ҳайдовчиси""}",2,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 1,300
Qo'yidagi belgilar qaysi yo'nalishda harakatlanishga ruxsat beradi?,Қўйидаги белгилар қайси йўналишда ҳаракатланишга рухсат беради?,"{""Faqat chapga"",""Faqat to'g'riga"",""Faqat o'ngga"",""To'g'riga, o'ngga va qayrilishga""}","{""Фақат чапга"",""Фақат тўғрига"",""Фақат ўнгга"",""Тўғрига, ўнгга ва қайрилишга""}",3,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 1,300
Bu belgilarning tasir oralig'ida qaysi avtomobil uchun to'xtashga ruxsat beriladi?,Бу белгиларнинг тасир оралиғида қайси автомобил учун тўхташга рухсат берилади?,"{""Qizilga"",""Ikkala avtomobilga"",""Hech qaysi biriga"",""Sariq avtomobilga""}","{""Қизилга"",""Иккала автомобилга"",""Ҳеч қайси бирига"",""Сариқ автомобилга""}",3,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 1,300
Avtomagistralda quyidagilar taqiqlanadi:,Автомагистралда қуйидагилар тақиқланади:,"{""Qayrilib olish va ajratuvchi bo'lakning texnologik o'zilish joylariga kirish"",""Orqaga harakatlanish"",""\""?????? ????? ????\"" yoki \""??? ???? ????\"" belgilari bo'lgan maxsus maydonchalardan tashqari joyda to'xtash"",""Yuqoridagi barcha holatlar""}","{""Қайрилиб олиш ва ажратувчи бўлакнинг технологик ўзилиш жойларига кириш"",""Орқага ҳаракатланиш"",""\""?????? ????? ????\"" ёки \""??? ???? ????\"" белгилари бўлган махсус майдончалардан ташқари жойда тўхташ"",""Юқоридаги барча ҳолатлар""}",3,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 1,300
Tibbiyot qutichasi va o't o'chirgich bo'lmagan qanday trasnport vositalaridan foynadalanish taqiqlanadi?,Тиббиёт қутичаси ва ўт ўчиргич бўлмаган қандай траснпорт воситаларидан фойнадаланиш тақиқланади?,"{""Faqat \"" M1 \"" toifali trasnport vositasi"",""Faqat \"" M2; M3; N1 \"" toifali trasnport vositasi"",""Faqat \"" N2; N3 \"" toifali trasnport vositasi"",""Hamma sanab o'tilgan transport vositalaridan""}","{""Фақат \"" М1 \"" тоифали траснпорт воситаси"",""Фақат \"" М2; М3; Н1 \"" тоифали траснпорт воситаси"",""Фақат \"" Н2; Н3 \"" тоифали траснпорт воситаси"",""Ҳамма санаб ўтилган транспорт воситаларидан""}",3,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 1,300
Harakatlanish taqiqlanadi:,Ҳаракатланиш тақиқланади:,"{""Qizil va oq avtomobillarga"",""Ko'k, yashil va oq avtomobillarga"",""Oq, ko'k va sariq avtomobillarga""}","{""Қизил ва оқ автомобилларга"",""Кўк, яшил ва оқ автомобилларга"",""Оқ, кўк ва сариқ автомобилларга""}",1,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 1,300
Mazkur chiziq nima haqida ogohlantiradi?,Мазкур чизиқ нима ҳақида огоҳлантиради?,"{""Transport vositalarining majburiy to'xtash joyiga yaqinlashayotgani"",""\""??????????? ???????????? ???????????\"" belgisi bilan birga qo'llanilganda haydovchini \""??????\"" chizig'iga yaqinlashayotganligini"",""Transport vositasi piyodalarga yo'l berishi kerak bo'lgan joyni ko'rsatadi""}","{""Транспорт воситаларининг мажбурий тўхташ жойига яқинлашаётгани"",""\""??????????? ???????????? ???????????\"" белгиси билан бирга қўлланилганда ҳайдовчини \""??????\"" чизиғига яқинлашаётганлигини"",""Транспорт воситаси пиёдаларга йўл бериши керак бўлган жойни кўрсатади""}",1,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 1,300
Qaysi belgi Qoidalarning aholi punktlarida harakatlanish tartibini belgilaydigan talablarning bekor kilinishini ko'rsatadi?,Қайси белги Қоидаларнинг аҳоли пунктларида ҳаракатланиш тартибини белгилайдиган талабларнинг бекор килинишини кўрсатади?,"{""1"",""2"",""3"",""4"",""5""}","{""1"",""2"",""3"",""4"",""5""}",3,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 2,300
O'ngga burilganda shu belgi bilan belgilangan bo'lakka o'tishga ruxsat etiladimi?,Ўнгга бурилганда шу белги билан белгиланган бўлакка ўтишга рухсат етиладими?,"{""Ruxsat etiladi"",""Taqiqlanadi"",""Agar bo'lak qolgan harakat qismidan yotiq uzluksiz chiziq bilan ajratilmagan bo'lsa, ruxsat etiladi""}","{""Рухсат етилади"",""Тақиқланади"",""Агар бўлак қолган ҳаракат қисмидан ётиқ узлуксиз чизиқ билан ажратилмаган бўлса, рухсат етилади""}",2,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 2,300
"Yuk transport vositasiga shunday joylashtirilishi kerakki, u:","Юк транспорт воситасига шундай жойлаштирилиши керакки, у:","{""Yukxona devorlaridan baland chiqmasligi kerak"",""Shovqin hosil qilmasligi, chang ko'tarmasligi va atrof-muxitni iflos qilmasligi kerak"",""Transport vositasining orqa o'lchamidan 0,8 m. dan ortiq chiqib turmasligi kerak""}","{""Юкхона деворларидан баланд чиқмаслиги керак"",""Шовқин ҳосил қилмаслиги, чанг кўтармаслиги ва атроф-мухитни ифлос қилмаслиги керак"",""Транспорт воситасининг орқа ўлчамидан 0,8 м. дан ортиқ чиқиб турмаслиги керак""}",1,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 2,300
Qaysi belgi qarama-qarshi harakatlanishning ustunligini bildiradi?,Қайси белги қарама-қарши ҳаракатланишнинг устунлигини билдиради?,"{""1"",""2"",""3"",""4"",""5""}","{""1"",""2"",""3"",""4"",""5""}",1,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 2,300
Mazkur yo'l belgisi nimani bildiradi?,Мазкур йўл белгиси нимани билдиради?,"{""Yo'lning trotuar yoki piyodalar yo'lkasi bo'lgan qismini"",""Yo'lning piyodalar o'tish joyi bo'lgan qismini""}","{""Йўлнинг тротуар ёки пиёдалар йўлкаси бўлган қисмини"",""Йўлнинг пиёдалар ўтиш жойи бўлган қисмини""}",1,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 2,300
Qaysi transport vositasiga harakatlanish ruxsat etiladi?,Қайси транспорт воситасига ҳаракатланиш рухсат етилади?,"{""Motosiklga"",""Yuk avtomobiliga"",""Avtobusga"",""Engil avtomobilga"",""Engil va yuk avtomobillariga""}","{""Мотосиклга"",""Юк автомобилига"",""Автобусга"",""Енгил автомобилга"",""Енгил ва юк автомобилларига""}",3,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 2,300
Qaysi transport vositalarini qatnov qismning chetida ikki qator qo'yish mumkin?,Қайси транспорт воситаларини қатнов қисмнинг четида икки қатор қўйиш мумкин?,"{""Kajavasiz motosikllar, mopedlar va velosipedlar"",""Kajavali motosikllar"",""\""???????\"" taniqli belgisi bo'lgan engil avtomobillar"",""Ruxsat etilgan to'la vazni 3,5 t. dan kam bo'lgan, bevosita trotuarlar bo'ylab joylashgan savdo va boshqa korxonalarga xizmat qiluvchi yuk avtomobillari""}","{""Кажавасиз мотосикллар, мопедлар ва велосипедлар"",""Кажавали мотосикллар"",""\""???????\"" таниқли белгиси бўлган енгил автомобиллар"",""Рухсат етилган тўла вазни 3,5 т. дан кам бўлган, бевосита тротуарлар бўйлаб жойлашган савдо ва бошқа корхоналарга хизмат қилувчи юк автомобиллари""}",0,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 2,300
Qaysi joylarda transport vositalariga qatnov qismining chetiga burchak ostida to'xtab turishga ruxsat etiladi?,Қайси жойларда транспорт воситаларига қатнов қисмининг четига бурчак остида тўхтаб туришга рухсат етилади?,"{""Har bir yo'nalishda ikkitadan bo'lagi bo'lgan yo'llarda"",""Har bir yo'nalishda uchta va undan ko'p bo'lagi bo'lgan yo'llarda"",""Faqat bir tomonlama harakatli yo'llarda"",""Yo'lning qatnov qismi kengaygan joylarda boshqa yo'l harakati qatnashchilariga halaqit bermaslik sharti bilan""}","{""Ҳар бир йўналишда иккитадан бўлаги бўлган йўлларда"",""Ҳар бир йўналишда учта ва ундан кўп бўлаги бўлган йўлларда"",""Фақат бир томонлама ҳаракатли йўлларда"",""Йўлнинг қатнов қисми кенгайган жойларда бошқа йўл ҳаракати қатнашчиларига ҳалақит бермаслик шарти билан""}",3,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 2,300
Suyak singanda qotirib bog'lash uchun nimadan shina sifatida foydalanish eng qo'lay?,Суяк синганда қотириб боғлаш учун нимадан шина сифатида фойдаланиш енг қўлай?,"{""Bint"",""Gazmol"",""Taxta bo'lagi""}","{""Бинт"",""Газмол"",""Тахта бўлаги""}",2,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 2,300
Haydovchi o'z harakati yo'nalishidan qatiy nazar kimga transport vositasini taqdim etishi kerak?,Ҳайдовчи ўз ҳаракати йўналишидан қатий назар кимга транспорт воситасини тақдим етиши керак?,"{""Yo'l xizmati xodimlariga"",""Tibbiyot xodimlariga zudlik bilan tibbiy yordamga muxtoj bo'lgan fukarolarni davolash-profilaktika muassasasiga olib borish uchun""}","{""Йўл хизмати ходимларига"",""Тиббиёт ходимларига зудлик билан тиббий ёрдамга мухтож бўлган фукароларни даволаш-профилактика муассасасига олиб бориш учун""}",1,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 2,300
Yashil avtomobil chorrahadan nechanchi bo'lib o'tadi?,Яшил автомобил чорраҳадан нечанчи бўлиб ўтади?,"{""Ikkinchi"",""Birinchi""}","{""Иккинчи"",""Биринчи""}",0,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 2,300
Transport vositalari chorrahadan quyidagi tartibda o'tadilar:,Транспорт воситалари чорраҳадан қуйидаги тартибда ўтадилар:,"{""Tramvay va avtobus, engil avtomobil"",""Tramvay, engil avtomobil, avtobus"",""Engil avtomobil, tramvay va avtobus""}","{""Трамвай ва автобус, енгил автомобил"",""Трамвай, енгил автомобил, автобус"",""Енгил автомобил, трамвай ва автобус""}",2,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 2,300
Qaysi transport vositasining haydovchisi yo'l berishi kerak?,Қайси транспорт воситасининг ҳайдовчиси йўл бериши керак?,"{""Motosikl haydovchisi"",""Avtomobil haydovchisi""}","{""Мотосикл ҳайдовчиси"",""Автомобил ҳайдовчиси""}",1,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 2,300
Qaysi yo'nalishlarda harakatlanishga ruxsat etilgan?,Қайси йўналишларда ҳаракатланишга рухсат етилган?,"{""Faqat \"" ? \"""",""Faqat \"" ? \"""",""\"" ? \"" va \"" ? \"""",""\"" ? \"", \"" ? \"", \"" ? \"" va \"" ? \"""",""\"" ? \"", \"" ? \"" va \"" ? \""""}","{""Фақат \"" ? \"""",""Фақат \"" ? \"""",""\"" ? \"" ва \"" ? \"""",""\"" ? \"", \"" ? \"", \"" ? \"" ва \"" ? \"""",""\"" ? \"", \"" ? \"" ва \"" ? \""""}",2,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 2,300
"Avtomobilning qaysi gildiragi ""sirpanib"" tormozlanishga ko'proq moyil?","Автомобилнинг қайси гилдираги ""сирпаниб"" тормозланишга кўпроқ мойил?","{""Orqa g'ildiraklar"",""Oldingi g'ildiraklar""}","{""Орқа ғилдираклар"",""Олдинги ғилдираклар""}",0,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 2,300
Ushbu yo'l belgisi nima haqida ogohlantiradi?,Ушбу йўл белгиси нима ҳақида огоҳлантиради?,"{""Bir izli temir yo'l kesishmasiga yaqinlashayotganligi haqida"",""Shlagbaum bilan jixozlanmagan bir izli temir yo'l kesishmasi borligidan"",""Shlagbaum bilan jixozlanmagan ikki izli temir yo'l kesishmasi borligidan""}","{""Бир изли темир йўл кесишмасига яқинлашаётганлиги ҳақида"",""Шлагбаум билан жихозланмаган бир изли темир йўл кесишмаси борлигидан"",""Шлагбаум билан жихозланмаган икки изли темир йўл кесишмаси борлигидан""}",1,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 2,300
Qaysi transport vositalariga to'xtab turishga ruxsat etilgan?,Қайси транспорт воситаларига тўхтаб туришга рухсат етилган?,"{""Faqat motosiklga"",""Faqat yuk avtomobiliga"",""Faqat engil avtomobilga"",""Engil avtomobil va motosiklga"",""Barcha transport vositalariga""}","{""Фақат мотосиклга"",""Фақат юк автомобилига"",""Фақат енгил автомобилга"",""Енгил автомобил ва мотосиклга"",""Барча транспорт воситаларига""}",3,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 2,300
Kunning qorong'i vaqtida suniy yoritilmagan yo'llarda yoki etarli ko'rinmaslik sharoitida yonmaydigan orqa gabarit chiroqlari bilan to'xtab turish yoki tamirlash joyiga borishga ruxsat beriladimi?,Куннинг қоронғи вақтида суний ёритилмаган йўлларда ёки етарли кўринмаслик шароитида ёнмайдиган орқа габарит чироқлари билан тўхтаб туриш ёки тамирлаш жойига боришга рухсат бериладими?,"{""Alohida ehtiyotkorlik bilan borishga ruxsat beriladi"",""Taqiqlanadi""}","{""Алоҳида еҳтиёткорлик билан боришга рухсат берилади"",""Тақиқланади""}",1,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 2,300
"Harakat ikki tomonlama bo'lgan, uch bo'lakli yo'lda siz o'ngga burilishingiz zarur. Ushbu harakatni qaysi bo'lakdan amalga oshirasiz?","Ҳаракат икки томонлама бўлган, уч бўлакли йўлда сиз ўнгга бурилишингиз зарур. Ушбу ҳаракатни қайси бўлакдан амалга оширасиз?","{""O'ng bo'lakdan"",""O'rta bo'lakdan"",""O'ng yoki o'rta bo'lakdan"",""O'rta bo'lakdan, lekin faqat o'ng bo'lak band bo'lganda""}","{""Ўнг бўлакдан"",""Ўрта бўлакдан"",""Ўнг ёки ўрта бўлакдан"",""Ўрта бўлакдан, лекин фақат ўнг бўлак банд бўлганда""}",0,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 2,300
Qo'l jarohatlanganda kiyim qanday tartibda kiygiziladi?,Қўл жароҳатланганда кийим қандай тартибда кийгизилади?,"{""Kiyim avval jarohatlangan qo'lga, so'ngra sog'iga kiydiriladi"",""Kiyim ikkala qo'lga baravar kiydiriladi"",""Kiyim avval sog' qo'lga, so'ngra jarohatlangan qo'lga kiydiriladi""}","{""Кийим аввал жароҳатланган қўлга, сўнгра соғига кийдирилади"",""Кийим иккала қўлга баравар кийдирилади"",""Кийим аввал соғ қўлга, сўнгра жароҳатланган қўлга кийдирилади""}",0,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 2,300
Qaysi belgi Qoidalarning aholi punktlarida harakatlanish tartibini belgilaydigan talablarning bekor kilinishini ko'rsatadi?,Қайси белги Қоидаларнинг аҳоли пунктларида ҳаракатланиш тартибини белгилайдиган талабларнинг бекор килинишини кўрсатади?,"{""1"",""2"",""3"",""4"",""5""}","{""1"",""2"",""3"",""4"",""5""}",3,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 2,300
Tartibga soluvchining mazkur ishorasi qo'yidagini bildiradi:,Тартибга солувчининг мазкур ишораси қўйидагини билдиради:,"{""Ko'k, yashil avtomobillarga harakatlanishga ruxsat etiladi. Qizil, sariq, oq avtomobillarga taqiqlanadi"",""Ko'k, qizil, yashil avtomobillarga harakatlanishga ruxsat etiladi. Sariq, oq avtomobillarga taqiqlanadi""}","{""Кўк, яшил автомобилларга ҳаракатланишга рухсат етилади. Қизил, сариқ, оқ автомобилларга тақиқланади"",""Кўк, қизил, яшил автомобилларга ҳаракатланишга рухсат етилади. Сариқ, оқ автомобилларга тақиқланади""}",1,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 3,300
Shu joyda hovliga burilishga ruxsat etiladimi?,Шу жойда ҳовлига бурилишга рухсат етиладими?,"{""Ruxsat etiladi."",""Taqiqlanadi""}","{""Рухсат етилади."",""Тақиқланади""}",0,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 3,300
"M2, M3 toifali avtotransport vositalari shina protektorlari naqshlarining qoldiq balandligi kamida qancha bo'lishi kerak?","М2, М3 тоифали автотранспорт воситалари шина протекторлари нақшларининг қолдиқ баландлиги камида қанча бўлиши керак?","{""0,8 mm."",""1,2 mm."",""1,6 mm"",""2 mm."",""2,5 mm.""}","{""0,8 мм."",""1,2 мм."",""1,6 мм"",""2 мм."",""2,5 мм.""}",3,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 3,300
Ko'rsatigan vaziyatda qaysi bo'lakdan o'ngga burilish lozim ?,Кўрсатиган вазиятда қайси бўлакдан ўнгга бурилиш лозим ?,"{""Faqat ikkinchi bo'lakdan"",""Faqat \"" ? \"" chizig'i bilan belgilangan o'ng chekkadagi bo'lakdan""}","{""Фақат иккинчи бўлакдан"",""Фақат \"" ? \"" чизиғи билан белгиланган ўнг чеккадаги бўлакдан""}",1,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 3,300
Aholi punktlaridan tashqarida engil avtomobillarning qanday eng katta tezlik bilan harakatlanishiga ruxsat etiladi?,Аҳоли пунктларидан ташқарида енгил автомобилларнинг қандай енг катта тезлик билан ҳаракатланишига рухсат етилади?,"{""110 km/c"",""100 km/c"",""90 km/c"",""80 km/c"",""70 km/c""}","{""110 км/c"",""100 км/c"",""90 км/c"",""80 км/c"",""70 км/c""}",1,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 3,300
Avtomagistralda shatakka olishga ruxsat beriladimi?,Автомагистралда шатакка олишга рухсат бериладими?,"{""50 km/s tezlik bilan ruxsat etilgan."",""Taqiqlanadi."",""Faqat qisman ortish usuli bilan yoki qattiq tirkagich bilan ruxsat beriladi."",""Egiluvchan tirkagich bilan ruxsat beriladi."",""Istalgan usulda ruxsat etilgan""}","{""50 км/с тезлик билан рухсат етилган."",""Тақиқланади."",""Фақат қисман ортиш усули билан ёки қаттиқ тиркагич билан рухсат берилади."",""Егилувчан тиркагич билан рухсат берилади."",""Исталган усулда рухсат етилган""}",4,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 3,300
Qaysi transport vositalariga harakatlanishga ruxsat etiladi?,Қайси транспорт воситаларига ҳаракатланишга рухсат етилади?,"{""Faqat qizil avtomobilga."",""Barcha transport vositalariga."",""Qizil, ko'k va yashil avtomobillarga.""}","{""Фақат қизил автомобилга."",""Барча транспорт воситаларига."",""Қизил, кўк ва яшил автомобилларга.""}",2,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 3,300
Qaysi transport vositasining xaydovchisi birinchi navbatda harakatlanish huquqiga ega?,Қайси транспорт воситасининг хайдовчиси биринчи навбатда ҳаракатланиш ҳуқуқига ега?,"{""Yuk avtomobili haydovchisi"",""Avtobus haydovchisi""}","{""Юк автомобили ҳайдовчиси"",""Автобус ҳайдовчиси""}",0,https://i.postimg.cc/NGmgN66H/avtotest.png,Bilet 3,300
